IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.91.225.232,8443,443,true,ARN,Europe,SE,Stockholm,425,10.82
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,349,10.59
20.33.30.36,2083,443,true,LAX,North America,US,Los Angeles,402,10.58
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,271,10.53
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,410,10.52
20.33.62.19,2083,443,true,LHR,Europe,GB,London,359,10.38
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,308,10.24
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,297,10.13
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,338,10.09
74.249.233.213,443,443,true,ORD,North America,US,Chicago,238,9.67
20.221.32.145,443,443,true,ORD,North America,US,Chicago,271,9.46
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,306,9.34
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,321,9.32
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,431,8.85
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,319,8.84
158.23.168.120,443,443,true,DFW,North America,US,Dallas,263,8.83
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,544,8.62
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,259,8.60
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,457,8.46
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,399,8.46
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,431,8.43
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,277,8.42
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,378,8.38
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,331,8.36
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,511,8.34
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,296,8.32
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,317,8.32
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,368,8.32
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,412,8.31
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,251,8.26
137.116.91.147,8443,443,true,IAD,North America,US,Ashburn,485,8.04
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,442,8.00
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,278,7.99
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,403,7.97
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,298,7.89
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,308,7.88
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,251,7.76
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,226,7.73
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,432,7.73
52.149.136.203,443,443,true,IAD,North America,US,Ashburn,429,7.72
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,409,7.63
104.210.3.231,8443,443,true,IAD,North America,US,Ashburn,514,7.60
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,490,7.58
20.83.156.0,443,443,true,IAD,North America,US,Ashburn,255,7.32
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,330,7.31
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,351,7.20
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,395,7.13
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,361,7.12
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,325,7.12
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,379,7.08
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,284,6.92
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,251,6.86
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,454,6.65
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,364,6.11
4.152.146.110,443,443,true,IAD,North America,US,Ashburn,421,5.78
20.74.223.241,443,443,true,MCI,North America,US,Kansas City,444,4.24
20.74.223.241,443,443,true,MCI,North America,US,Kansas City,468,4.24
20.74.223.241,8080,443,true,MCI,North America,US,Kansas City,512,4.01
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,341,3.71
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,394,3.43
20.220.204.217,443,443,true,YYZ,North America,CA,Toronto,431,0.07
137.116.251.154,80,443,false,DUB,Europe,IE,Dublin,202,0.02
13.90.157.110,80,443,false,IAD,North America,US,Ashburn,222,0.02
52.226.76.91,80,443,false,IAD,North America,US,Ashburn,217,0.02
40.66.63.160,80,80,false,CDG,Europe,FR,Paris,149,0.00
51.140.44.206,2086,2086,false,LHR,Europe,GB,London,150,0.00
