IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
35.202.158.120,443,443,true,ORD,North America,US,Chicago,256,8.89
34.70.91.86,443,443,true,ORD,North America,US,Chicago,315,8.74
34.69.150.180,443,443,true,ORD,North America,US,Chicago,287,8.73
35.226.250.3,8443,443,true,ORD,North America,US,Chicago,297,8.67
34.69.150.180,443,443,true,ORD,North America,US,Chicago,303,8.55
34.69.150.180,443,443,true,ORD,North America,US,Chicago,342,8.51
35.226.250.3,2053,443,true,ORD,North America,US,Chicago,245,8.50
34.89.91.99,443,443,true,LHR,Europe,GB,London,193,8.44
34.105.189.25,443,443,true,LHR,Europe,GB,London,348,8.43
34.105.233.161,443,443,true,LHR,Europe,GB,London,300,8.22
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,289,7.88
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,289,7.73
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,426,7.59
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,281,7.42
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,320,7.34
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,372,7.32
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,367,7.20
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,235,6.35
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,361,6.10
34.89.30.78,443,443,true,LHR,Europe,GB,London,224,6.00
35.228.36.82,443,443,true,CPH,Europe,DK,Copenhagen,339,5.69
34.89.30.78,443,443,true,LHR,Europe,GB,London,331,5.45
34.147.196.2,443,443,true,LHR,Europe,GB,London,181,5.36
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,399,1.94
34.88.56.88,443,443,true,CDG,Europe,FR,Paris,355,1.46
34.88.56.88,443,443,true,YYZ,North America,CA,Toronto,405,0.26
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,51,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,64,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,78,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,81,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,81,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,86,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,88,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,90,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,96,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,104,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,112,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,117,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,134,0.00
35.200.154.186,443,443,true,BOM,Asia Pacific,IN,Mumbai,138,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,156,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,157,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,157,0.00
34.169.10.201,80,80,false,SEA,North America,US,Seattle,157,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,158,0.00
34.169.10.201,443,80,false,SEA,North America,US,Seattle,160,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,161,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,161,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,162,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,164,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,165,0.00
